,tpi
2016/1/3 0:00,0.18178496377741932
2016/1/3 0:05,0.1645583161474193
2016/1/3 0:10,0.18632365662225797
2016/1/3 0:15,0.1845727057580645
2016/1/3 0:20,0.18518916106967742
2016/1/3 0:25,0.16154657530241937
2016/1/3 0:30,0.1383782187279032
2016/1/3 0:35,0.1679385030327419
2016/1/3 0:40,0.15733287894516126
2016/1/3 0:45,0.16057177814693546
2016/1/3 0:50,0.14758815868161276
2016/1/3 0:55,0.1474774399246774
2016/1/3 1:00,0.12899071956177413
2016/1/3 1:05,0.11807888880419347
2016/1/3 1:10,0.13275368499999998
2016/1/3 1:15,0.1153265378182258
2016/1/3 1:20,0.13654234812709676
2016/1/3 1:25,0.10255597809048375
2016/1/3 1:30,0.09057519110259665
2016/1/3 1:35,0.11076447832703222
2016/1/3 1:40,0.11925435959709672
2016/1/3 1:45,0.11120413348241925
2016/1/3 1:50,0.09058842826211291
2016/1/3 1:55,0.12119090541909683
2016/1/3 2:00,0.08634758568837089
2016/1/3 2:05,0.0880293994708226
2016/1/3 2:10,0.045215451395483865
2016/1/3 2:15,0.1294025938466129
2016/1/3 2:20,0.10359352878564514
2016/1/3 2:25,0.08829976366708049
2016/1/3 2:30,0.09309892262961282
2016/1/3 2:35,0.034560311045085446
2016/1/3 2:40,0.12574703654046776
2016/1/3 2:45,0.09966580489804824
2016/1/3 2:50,0.10260185485227402
2016/1/3 2:55,0.04642254079580643
2016/1/3 3:00,0.04792076620674191
2016/1/3 3:05,0.09813662260822574
2016/1/3 3:10,0.0458183259958064
2016/1/3 3:15,0.07693394070301611
2016/1/3 3:20,0.0736097639198386
2016/1/3 3:25,0.08601517100591922
2016/1/3 3:30,0.07290421900750002
2016/1/3 3:35,0.047028099735806475
2016/1/3 3:40,0.047028099735806475
2016/1/3 3:45,0.08262721365122583
2016/1/3 3:50,0.05130498161983869
2016/1/3 3:55,0.05130498161983869
2016/1/3 4:00,0.05130498161983869
2016/1/3 4:05,0.0688126576189839
2016/1/3 4:10,0.07807294912612903
2016/1/3 4:15,0.05192143693145153
2016/1/3 4:20,0.05192143693145153
2016/1/3 4:25,0.05451289896133872
2016/1/3 4:30,0.06734352247956454
2016/1/3 4:35,0.044613913068064504
2016/1/3 4:40,0.044613913068064504
2016/1/3 4:45,0.05820204993377417
2016/1/3 4:50,0.04401370709919354
2016/1/3 4:55,0.04401370709919354
2016/1/3 5:00,0.039689607528387016
2016/1/3 5:05,0.04281727663838703
2016/1/3 5:10,0.077407004276629
2016/1/3 5:15,0.05855923987658057
2016/1/3 5:20,0.09535922324674194
2016/1/3 5:25,0.09632397426790322
2016/1/3 5:30,0.12856471865111282
2016/1/3 5:35,0.04763500676403225
2016/1/3 5:40,0.12065513176387085
2016/1/3 5:45,0.11278966384693537
2016/1/3 5:50,0.10625160850709672
2016/1/3 5:55,0.12322683032838708
2016/1/3 6:00,0.14298332766532248
2016/1/3 6:05,0.12318958594903229
2016/1/3 6:10,0.12601154595241937
2016/1/3 6:15,0.13909069193338708
2016/1/3 6:20,0.14484184214693546
2016/1/3 6:25,0.13496025664967742
2016/1/3 6:30,0.17471298057225795
2016/1/3 6:35,0.16255179108451612
2016/1/3 6:40,0.15385378339370961
2016/1/3 6:45,0.16145814071145154
2016/1/3 6:50,0.13934686528274193
2016/1/3 6:55,0.1581055682967741
2016/1/3 7:00,0.15291582897161274
2016/1/3 7:05,0.14570315780048387
2016/1/3 7:10,0.15259835393354837
2016/1/3 7:15,0.2052380632074193
2016/1/3 7:20,0.19533430388258052
2016/1/3 7:25,0.20001923587999998
2016/1/3 7:30,0.20293772669806442
2016/1/3 7:35,0.2303667246677418
2016/1/3 7:40,0.21990774068177418
2016/1/3 7:45,0.24520894589677417
2016/1/3 7:50,0.2367318500541935
2016/1/3 7:55,0.23475099920499998
2016/1/3 8:00,0.22526664795629028
2016/1/3 8:05,0.21641563721403226
2016/1/3 8:10,0.24516128874419355
2016/1/3 8:15,0.24942269217419355
2016/1/3 8:20,0.26467759650177397
2016/1/3 8:25,0.26718614387999984
2016/1/3 8:30,0.281092088422258
2016/1/3 8:35,0.2806099302722581
2016/1/3 8:40,0.28914678307241937
2016/1/3 8:45,0.2805827841609677
2016/1/3 8:50,0.3063596891041935
2016/1/3 8:55,0.281622960145645
2016/1/3 9:00,0.3080336588598387
2016/1/3 9:05,0.31588667873967735
2016/1/3 9:10,0.30134631999870964
2016/1/3 9:15,0.3510792342759677
2016/1/3 9:20,0.3720991292022581
2016/1/3 9:25,0.33438411540161267
2016/1/3 9:30,0.38428266732016125
2016/1/3 9:35,0.39808422252935477
2016/1/3 9:40,0.3782173449874193
2016/1/3 9:45,0.4055022504129032
2016/1/3 9:50,0.39813206342241925
2016/1/3 9:55,0.3868216869638708
2016/1/3 10:00,0.38404954721258056
2016/1/3 10:05,0.3859679706237097
2016/1/3 10:10,0.4101918335225806
2016/1/3 10:15,0.3791944279169355
2016/1/3 10:20,0.4085394131383872
2016/1/3 10:25,0.3846440488333871
2016/1/3 10:30,0.4014102069814516
2016/1/3 10:35,0.39710974242419345
2016/1/3 10:40,0.41576895441774187
2016/1/3 10:45,0.407936750922258
2016/1/3 10:50,0.4189175520629031
2016/1/3 10:55,0.3832086141309677
2016/1/3 11:00,0.4051416194374194
2016/1/3 11:05,0.3990688138762903
2016/1/3 11:10,0.42807400631580644
2016/1/3 11:15,0.4319350188648385
2016/1/3 11:20,0.4155376476033869
2016/1/3 11:25,0.4186337121267742
2016/1/3 11:30,0.41697914193870966
