,tpi
2016/1/3 0:00,0.25082576871999995
2016/1/3 0:05,0.2506551760249999
2016/1/3 0:10,0.22877471248806447
2016/1/3 0:15,0.24493464146774196
2016/1/3 0:20,0.2384539315583871
2016/1/3 0:25,0.23211383107548372
2016/1/3 0:30,0.22026198780080639
2016/1/3 0:35,0.18022837419064516
2016/1/3 0:40,0.20596405887016103
2016/1/3 0:45,0.2115824669732258
2016/1/3 0:50,0.20820796484935475
2016/1/3 0:55,0.2059143333466129
2016/1/3 1:00,0.18411807458870963
2016/1/3 1:05,0.17294503617467738
2016/1/3 1:10,0.173593875960645
2016/1/3 1:15,0.1839844386093548
2016/1/3 1:20,0.1579276705449999
2016/1/3 1:25,0.16838341120935482
2016/1/3 1:30,0.14996543645612886
2016/1/3 1:35,0.15720888158048368
2016/1/3 1:40,0.15065874189838702
2016/1/3 1:45,0.17102477409725805
2016/1/3 1:50,0.16705678203370966
2016/1/3 1:55,0.14857834798274192
2016/1/3 2:00,0.15054087582935483
2016/1/3 2:05,0.17515562694629028
2016/1/3 2:10,0.1768848100788709
2016/1/3 2:15,0.16047729883403225
2016/1/3 2:20,0.14387536527048386
2016/1/3 2:25,0.1552196498730645
2016/1/3 2:30,0.14989711222774196
2016/1/3 2:35,0.12913825956503225
2016/1/3 2:40,0.15981457357483866
2016/1/3 2:45,0.13127017202241933
2016/1/3 2:50,0.13920388333064512
2016/1/3 2:55,0.14921435129645144
2016/1/3 3:00,0.1419052555341935
2016/1/3 3:05,0.12659939754122565
2016/1/3 3:10,0.14392496926951612
2016/1/3 3:15,0.12659939754122565
2016/1/3 3:20,0.11782396230087085
2016/1/3 3:25,0.12711202819429038
2016/1/3 3:30,0.12177934132987081
2016/1/3 3:35,0.12516878144696766
2016/1/3 3:40,0.11842703835129031
2016/1/3 3:45,0.12460859335395161
2016/1/3 3:50,0.12912546711037082
2016/1/3 3:55,0.12508786391214502
2016/1/3 4:00,0.11776911579161287
2016/1/3 4:05,0.11243477639545157
2016/1/3 4:10,0.10931265686759672
2016/1/3 4:15,0.1264652501544192
2016/1/3 4:20,0.11936996879708063
2016/1/3 4:25,0.12710701001006453
2016/1/3 4:30,0.11845939760625801
2016/1/3 4:35,0.1265120916249838
2016/1/3 4:40,0.1344998660999194
2016/1/3 4:45,0.1351885726935484
2016/1/3 4:50,0.13250084145391935
2016/1/3 4:55,0.13115893685187094
2016/1/3 5:00,0.13340377406838702
2016/1/3 5:05,0.13791180043677417
2016/1/3 5:10,0.13521461630548387
2016/1/3 5:15,0.12993092373258064
2016/1/3 5:20,0.1419052555341935
2016/1/3 5:25,0.1253516970514515
2016/1/3 5:30,0.14923336804096773
2016/1/3 5:35,0.14329935620193546
2016/1/3 5:40,0.16771321853887095
2016/1/3 5:45,0.17229495984209675
2016/1/3 5:50,0.14787690949499976
2016/1/3 5:55,0.14060690449258068
2016/1/3 6:00,0.15865124814741935
2016/1/3 6:05,0.1505381845385484
2016/1/3 6:10,0.18210401147080643
2016/1/3 6:15,0.1598165856629032
2016/1/3 6:20,0.18017990193241928
2016/1/3 6:25,0.18858251672612894
2016/1/3 6:30,0.17619645929338706
2016/1/3 6:35,0.19640141335322575
2016/1/3 6:40,0.18267872987387085
2016/1/3 6:45,0.19360875361951613
2016/1/3 6:50,0.193075140025
2016/1/3 6:55,0.18009442138403214
2016/1/3 7:00,0.1839577159499999
2016/1/3 7:05,0.21376115568145154
2016/1/3 7:10,0.18981065594629032
2016/1/3 7:15,0.21199231102209679
2016/1/3 7:20,0.23627815079
2016/1/3 7:25,0.22934876547774186
2016/1/3 7:30,0.2384539315583871
2016/1/3 7:35,0.2550086252493548
2016/1/3 7:40,0.2707213025391935
2016/1/3 7:45,0.24603916738580642
2016/1/3 7:50,0.283194930671129
2016/1/3 7:55,0.254303358276129
2016/1/3 8:00,0.26781081638774185
2016/1/3 8:05,0.2558706661714516
2016/1/3 8:10,0.24580485247193534
2016/1/3 8:15,0.2568392532846774
2016/1/3 8:20,0.26863167655354825
2016/1/3 8:25,0.27726525982870964
2016/1/3 8:30,0.28313730508370943
2016/1/3 8:35,0.27824323875080637
2016/1/3 8:40,0.28943782387096767
2016/1/3 8:45,0.3037736307387095
2016/1/3 8:50,0.30688644494354833
2016/1/3 8:55,0.3057513556014516
2016/1/3 9:00,0.308590219506774
2016/1/3 9:05,0.3125950700925807
2016/1/3 9:10,0.2955091975425806
2016/1/3 9:15,0.2944051158766129
2016/1/3 9:20,0.32321573873419335
2016/1/3 9:25,0.33128751814499974
2016/1/3 9:30,0.3154410817672581
2016/1/3 9:35,0.3247500885353225
2016/1/3 9:40,0.3679769149675807
2016/1/3 9:45,0.3385352068132258
2016/1/3 9:50,0.351866069448871
2016/1/3 9:55,0.350830156295
2016/1/3 10:00,0.34887200405532254
2016/1/3 10:05,0.34946886669370963
2016/1/3 10:10,0.36646177978612887
2016/1/3 10:15,0.3468841280854838
2016/1/3 10:20,0.3640389897625807
2016/1/3 10:25,0.37256040726290307
2016/1/3 10:30,0.3831421923901613
2016/1/3 10:35,0.3555309965732259
2016/1/3 10:40,0.3585119578561289
2016/1/3 10:45,0.37463659053725784
2016/1/3 10:50,0.3767348334253224
2016/1/3 10:55,0.38684868047870963
2016/1/3 11:00,0.3509582718332258
2016/1/3 11:05,0.36594539135580634
2016/1/3 11:10,0.3619981964175807
2016/1/3 11:15,0.3646048093120968
2016/1/3 11:20,0.390296543066129
2016/1/3 11:25,0.39816901724645143
2016/1/3 11:30,0.3819323973885483
2016/1/3 11:35,0.3737418211287097
