,tpi
2016/1/3 0:00,0.15628061799532253
2016/1/3 0:05,0.16774085533806446
2016/1/3 0:10,0.1570593956287097
2016/1/3 0:15,0.13832247925967742
2016/1/3 0:20,0.1352830050129032
2016/1/3 0:25,0.13308053754854834
2016/1/3 0:30,0.14251630579532254
2016/1/3 0:35,0.1154332848396773
2016/1/3 0:40,0.1572113320159677
2016/1/3 0:45,0.12926838615354824
2016/1/3 0:50,0.11564349253193534
2016/1/3 0:55,0.11852063418870971
2016/1/3 1:00,0.12120015747612889
2016/1/3 1:05,0.10964110786516136
2016/1/3 1:10,0.1320343963796775
2016/1/3 1:15,0.1305214197846773
2016/1/3 1:20,0.09889140232604825
2016/1/3 1:25,0.11435168206161292
2016/1/3 1:30,0.12462067217419356
2016/1/3 1:35,0.09943954839332252
2016/1/3 1:40,0.1139042256253064
2016/1/3 1:45,0.0961988722200968
2016/1/3 1:50,0.09738709762269347
2016/1/3 1:55,0.09738709762269347
2016/1/3 2:00,0.12747653235725803
2016/1/3 2:05,0.10420270039845161
2016/1/3 2:10,0.1090560024799515
2016/1/3 2:15,0.08878933993609671
2016/1/3 2:20,0.10039908791380638
2016/1/3 2:25,0.10429237712864517
2016/1/3 2:30,0.09654051230141937
2016/1/3 2:35,0.09562311335177417
2016/1/3 2:40,0.08821322513540322
2016/1/3 2:45,0.09364258898822563
2016/1/3 2:50,0.09695590333427415
2016/1/3 2:55,0.08831782185706452
2016/1/3 3:00,0.09404077126354844
2016/1/3 3:05,0.07923375876085484
2016/1/3 3:10,0.08907423494983853
2016/1/3 3:15,0.07438424711499998
2016/1/3 3:20,0.0726945961612258
2016/1/3 3:25,0.09112643380703211
2016/1/3 3:30,0.07628035699161279
2016/1/3 3:35,0.0885175325098387
2016/1/3 3:40,0.08793440912048381
2016/1/3 3:45,0.08680813594227416
2016/1/3 3:50,0.0822815546613064
2016/1/3 3:55,0.07806294553709672
2016/1/3 4:00,0.08173776472719341
2016/1/3 4:05,0.07949046575169347
2016/1/3 4:10,0.09364258898822563
2016/1/3 4:15,0.08821356065761288
2016/1/3 4:20,0.06938666304072569
2016/1/3 4:25,0.08570341771106436
2016/1/3 4:30,0.09327110312129024
2016/1/3 4:35,0.10256428826983871
2016/1/3 4:40,0.09663628257806448
2016/1/3 4:45,0.09925577091354838
2016/1/3 4:50,0.09925577091354838
2016/1/3 4:55,0.09123522609154844
2016/1/3 5:00,0.1095677697788063
2016/1/3 5:05,0.09813881348187097
2016/1/3 5:10,0.092985453360645
2016/1/3 5:15,0.09925577091354838
2016/1/3 5:20,0.09631368674798386
2016/1/3 5:25,0.08725983839783863
2016/1/3 5:30,0.10975640169516128
2016/1/3 5:35,0.10803057379320954
2016/1/3 5:40,0.11824497127645162
2016/1/3 5:45,0.10953079603064514
2016/1/3 5:50,0.11809128629983859
2016/1/3 5:55,0.11648824887290318
2016/1/3 6:00,0.08942716699851617
2016/1/3 6:05,0.0927519178833871
2016/1/3 6:10,0.10158923319538707
2016/1/3 6:15,0.10824783040467739
2016/1/3 6:20,0.1227794521646774
2016/1/3 6:25,0.12535716774274178
2016/1/3 6:30,0.12490471335112903
2016/1/3 6:35,0.1464510171596774
2016/1/3 6:40,0.15249610360483867
2016/1/3 6:45,0.14332742173983876
2016/1/3 6:50,0.14706124437967746
2016/1/3 6:55,0.15112849700548384
2016/1/3 7:00,0.1546440321475804
2016/1/3 7:05,0.1186224418980645
2016/1/3 7:10,0.1375528280837097
2016/1/3 7:15,0.15428550168741936
2016/1/3 7:20,0.14036933184338704
2016/1/3 7:25,0.15956743330435483
2016/1/3 7:30,0.16694769469161275
2016/1/3 7:35,0.17827920353241933
2016/1/3 7:40,0.20127072400854837
2016/1/3 7:45,0.18951915768338715
2016/1/3 7:50,0.18093150171112904
2016/1/3 7:55,0.19538354451612902
2016/1/3 8:00,0.17509007366
2016/1/3 8:05,0.16646082042806445
2016/1/3 8:10,0.20056761786129015
2016/1/3 8:15,0.18563777102338713
2016/1/3 8:20,0.19473035392693547
2016/1/3 8:25,0.206381800251129
2016/1/3 8:30,0.20953871093999996
2016/1/3 8:35,0.20705791242112898
2016/1/3 8:40,0.2228048042143548
2016/1/3 8:45,0.2393425800170967
2016/1/3 8:50,0.23640171761903228
2016/1/3 8:55,0.23431933485112902
2016/1/3 9:00,0.23024156144129027
2016/1/3 9:05,0.23692180236338709
2016/1/3 9:10,0.2903308555758064
2016/1/3 9:15,0.274918936611129
2016/1/3 9:20,0.31474156126096764
2016/1/3 9:25,0.3051300778314516
2016/1/3 9:30,0.3393684840274193
2016/1/3 9:35,0.3123930062620967
2016/1/3 9:40,0.362570233893871
2016/1/3 9:45,0.37060604316129037
2016/1/3 9:50,0.3440493459506451
2016/1/3 9:55,0.31804534326548384
2016/1/3 10:00,0.31582626188596774
2016/1/3 10:05,0.284337963208871
2016/1/3 10:10,0.3040059374885484
2016/1/3 10:15,0.35003782584419346
2016/1/3 10:20,0.31528229105387096
2016/1/3 10:25,0.300499183179032
2016/1/3 10:30,0.32260521713354834
2016/1/3 10:35,0.3661666279675805
2016/1/3 10:40,0.3468239035466129
2016/1/3 10:45,0.32963381523790325
2016/1/3 10:50,0.36944752368290296
2016/1/3 10:55,0.3766648377322582
2016/1/3 11:00,0.34729478801306446
2016/1/3 11:05,0.3504507061788709
2016/1/3 11:10,0.3632428530083869
2016/1/3 11:15,0.34987293641499995
2016/1/3 11:20,0.3486885154575806
2016/1/3 11:25,0.3526575617491933
2016/1/3 11:30,0.33490528438629025
2016/1/3 11:35,0.3289513170333871
